epoch,train_loss,val_loss,train_seg_loss,val_seg_loss,train_cls_loss,val_cls_loss,train_accuracy,val_accuracy,train_dice,val_dice,val_auc
1,2.708362650484652,2.129033463384638,0.4392764219400045,0.2702715718117192,1.1345431155771823,0.9293809488939879,0.5368243243243244,0.6623743718592965,0.842709770524824,0.8976528407940313,0.8076638778586017
2,1.9361183999680185,1.5150418200684552,0.20695229781640542,0.17609266086888672,0.8645830519457122,0.6694745788322621,0.6817567567567567,0.7430904522613065,0.9191276690766618,0.9240827713180427,0.9069936729994834
3,1.5176972212018194,1.1670764723614833,0.1616419514530414,0.1592488603376264,0.6780276357483219,0.5039138045143242,0.7570945945945946,0.8313442211055276,0.9296446362701623,0.9282469554762145,0.9487331932212587
4,1.264324339821532,0.9944767718339086,0.1421179514881727,0.14230375497335165,0.5611031936310433,0.4260865086736392,0.798445945945946,0.8548097631012204,0.9355217163627212,0.9353133038659791,0.96091104639707
5,1.104438834512556,0.9110500366244484,0.12732948470760036,0.11167954140572092,0.4885546754985242,0.3996852460368794,0.827972972972973,0.8514447236180904,0.9408538710748827,0.9479435295914885,0.9698721244614777
6,1.0494095466910183,0.859366040583232,0.11803289079182856,0.09716938196414679,0.4656883270635798,0.3810983297962639,0.8382432432432433,0.8577261306532663,0.9441859537201959,0.9532802503312653,0.975059891921544
7,0.9502361718383995,0.7995179724603442,0.10997192878980894,0.1019862866281864,0.4201321219995215,0.34876584259783805,0.8527027027027027,0.8706030150753769,0.9475448244971199,0.9510217899054139,0.974649184538475
8,0.920830381206564,0.8099081573923629,0.10334760663879884,0.09685714275169013,0.4087413881356652,0.3565255072173761,0.8591891891891892,0.8724874371859297,0.9501996106714816,0.953658617920612,0.9812113373435611
9,0.861745826682529,1.1461572408975669,0.09853628838787208,0.08691938627679743,0.38160476870230725,0.5296189259344609,0.8674324324324324,0.815640703517588,0.9523948617883631,0.9580928889950316,0.9740293487977223
10,0.8233182252419962,0.6130566791673402,0.09322659616534774,0.07896868680514882,0.36504581501355043,0.2670439971638984,0.8722972972972973,0.9086055276381909,0.9546602980510609,0.9616157831858151,0.982715725845437
11,0.7995093441170615,0.7925531259134188,0.09116259603081522,0.08505356208837811,0.35417337443780256,0.35374978268940244,0.8758783783783783,0.8837939698492462,0.95573285437919,0.9591485678251065,0.9751716213713701
12,0.7776394149902705,0.6514161120931706,0.08764020419201335,0.08099779044862968,0.3449996054172516,0.28520916032618915,0.8806756756756757,0.9016959798994975,0.9571779716981423,0.9603148288463228,0.9848009318408186
13,0.7486128037040298,0.5859326635623098,0.0843810046242701,0.07640338003934927,0.33211589906868094,0.25476464245412217,0.8860810810810811,0.9098618090452262,0.9586168235701483,0.9625880856010782,0.9843950754833288
14,0.7279054828592249,0.5686879051690126,0.08257061627265569,0.07254652025636717,0.3226674332912709,0.24807069164200043,0.8931081081081081,0.9161432160804021,0.9595150731705331,0.9648380126785393,0.9863060466311093
15,0.7049785487232981,0.4982194807661239,0.07926649543884638,0.06946751583910468,0.31285602607034346,0.21437598316551154,0.8960135135135135,0.9208542713567839,0.9609517265654899,0.9661274315723821,0.9878551683985104
16,0.6925643327429488,0.500989366753317,0.07828251619194004,0.0682854832491683,0.30714090748312506,0.2163519418456746,0.8969594594594594,0.9239949748743719,0.9612853548333452,0.9662321653198357,0.9876420855456659
17,0.6680551539079563,0.5617713528362351,0.075938673808768,0.06936164765651502,0.29605823984017243,0.24620485218737892,0.8997297297297298,0.9164572864321608,0.9624019022890039,0.9658520009050418,0.984639752608503
18,0.6539250542263727,0.5066642661639793,0.07477901433367987,0.06524368177107231,0.2895730198798953,0.2207102925146944,0.902027027027027,0.9255653266331658,0.962982825781848,0.9678549937267399,0.9875813655100713
19,0.5966706827846733,0.4469056937038599,0.07329046297717738,0.06192659506171792,0.2616901098856249,0.19248954851610875,0.9110810810810811,0.9302763819095478,0.9635691254847758,0.9693352376396333,0.9890160025799158
